x,y,z
5.3010908298541555,27.995212591617,7.197298330032144
4.675923388325679,28.06801123445145,7.21554778072171
4.050113822294286,28.126776598852718,7.233598088117734
3.423978827324654,28.171516662541602,7.2514487540463035
2.7978343908922905,28.20224659047518,7.269099285843451
2.171995628296882,28.21898870596339,7.286549196368747
1.546776619552517,28.221772458015575,7.30379800401875
0.9224902473422456,28.21063438494725,7.32084523274029
0.29944803612353876,28.185618074279677,7.337690412043626
-0.3220400075304978,28.14677411896674,7.3543330770154
-0.9416655532693047,28.094160069985495,7.370772768331497
-1.5591221038996355,28.027840385328933,7.387009032269706
-2.17410515083445,27.947886375441158,7.403041420722256
-2.786312327974617,27.85437614513738,7.418869491208166
-3.395443563944025,27.747394532052596,7.434492806885468
-4.001201232598955,27.627033041665047,7.449910936563264
-4.603290301734796,27.49338977894205,7.465123454713621
-5.201418479913777,27.34656937665766,7.480129941483318
-5.795296361338769,27.186682920433434,7.49492998270544
-6.384637568700019,27.01384787055506,7.509523169910788
-6.969158893923044,26.82818798061937,7.523909100339186
-7.548580436747116,26.629833213067855,7.538087376950563
-8.122625741064844,26.418919651664496,7.552057608435934
-8.691021928956323,26.195589410976886,7.565819409228186
-9.25349983235151,25.959990542921513,7.579372399512727
-9.809794122256127,25.712276940435384,7.592716205237969
-10.359643435479576,25.452608238337305,7.605850458125644
-10.902790498802526,25.181149711444167,7.618774795680977
-11.438982250526264,24.898072170007858,7.631488861202686
-11.967969959344881,24.603551852541013,7.643992303792826
-12.489509340485853,24.297770316099648,7.656284778366476
-13.003360669063603,23.98091432409323,7.668365945661261
-13.509288890595144,23.653175731692613,7.680235472246718
-14.007063728626058,23.31475136890867,7.691893030533495
-14.49645978941951,22.965842921414083,7.703338298782395
-14.977256663660537,22.606656809183086,7.714570961113253
-15.449239025131225,22.237404063024073,7.725590707513659
-15.912196726314196,21.858300199080844,7.736397233847507
-16.365924890882642,21.469565091379852,7.746990241863395
-16.810224003038282,21.071422842500922,7.757369439202854
-17.244899993660425,20.664101652449617,7.767534539408416
-17.669764323230087,20.24783368581103,7.777485261931523
-18.084634061497116,19.822854937264065,7.787221332140265
-18.489331963858174,19.389405095537246,7.796742481326966
-18.883686544416843,18.94772740588674,7.806048446715594
-19.267532145698915,18.498068531177864,7.8151389714690165
-19.640709004997134,18.040678411652443,7.824013804696091
-20.003063317322535,17.575810123464137,7.832672701458583
-20.35444729494163,17.103719736064082,7.841115422777935
-20.694719223479527,16.62466616852065,7.849341735641851
-21.023743514572914,16.138911044855504,7.85735141301074
-21.341390755056917,15.646718548480532,7.865144233823972
-21.647537752673813,15.148355275818131,7.872719983005984
-21.94206757829185,14.644090089189469,7.880078451472214
-22.22486960462563,14.134193969054008,7.887219436134874
-22.495839541451222,13.618939865684059,7.8941427399085535
-22.75487946731104,13.098602550358034,7.900848171715653
-23.001897857705366,12.573458466156573,7.907335546491672
-23.23680960977028,12.04378557844396,7.913604685190302
-23.45953606344235,11.509863225119354,7.9196554147883775
-23.670005019114114,10.97197196671965,7.925487568290645
-23.868150751784487,10.4303934364579,7.931100984734378
-24.053914021712124,9.885410190278527,7.936495509193814
-24.227242081579924,9.337305557012613,7.941670992784432
-24.38808868018235,8.786363488713546,7.946627292667063
-24.536414062647808,8.23286841125554,7.9513642720518325
-24.672184967211503,7.677105075274219,7.955881800201934
-24.795374618554817,7.119358407530737,7.960179752437236
-24.905962717730308,6.5599133627774515,7.964258010137728
-25.003935428692287,5.99905477620535,7.968116460746789
-25.08928536145554,5.437067216549878,7.971754997774298
-25.16201155190586,4.874234839933969,7.97517352079957
-25.222119438288566,4.310841244523383,7.978371935474129
-25.269620834402215,3.747169326071535,7.981350153524313
-25.304533899527105,3.1835011344273183,7.984108092753708
-25.326883105119315,2.6201177310809824,7.986645677045417
-25.33669919830313,2.0572990478206905,7.988962836364163
-25.334019162196128,1.4953237465713745,7.991059506758219
-25.31888617310284,0.9344690804877461,7.992935630361175
-25.291349554614627,0.3750107563710325,7.994591155393533
-25.251464728654792,-0.18277720152212604,7.9960260361641415
-25.199293163509626,-0.7386225862096909,7.997240233071447
-25.134902318887548,-1.2922551411880343,7.998233712604596
-25.058365588049885,-1.8434066920425674,7.999006447344355
-24.969762237058443,-2.3918112764025286,7.99955841596387
-24.86917734118624,-2.9372052721755284,7.999889603229252
-24.756701718539258,-3.4793275240016435,8.0
